algorithm,threads,n,k,rep,dtype,time
Naive,24,30000000,22500000,13,i32,5637
SeqPriority,24,30000000,22500000,13,i32,181
ParPriority,24,30000000,22500000,13,i32,1134
SeqPermutation,24,30000000,22500000,13,i32,156
FullPermutation,24,30000000,22500000,13,i32,10494
ParPermutation,24,30000000,22500000,13,i32,9076
Naive,24,30000000,22500000,14,i32,5748
SeqPriority,24,30000000,22500000,14,i32,95
ParPriority,24,30000000,22500000,14,i32,1949
SeqPermutation,24,30000000,22500000,14,i32,158
FullPermutation,24,30000000,22500000,14,i32,10494
ParPermutation,24,30000000,22500000,14,i32,9109
Naive,24,30000000,27000000,0,i32,7316
SeqPriority,24,30000000,27000000,0,i32,199
ParPriority,24,30000000,27000000,0,i32,1003
SeqPermutation,24,30000000,27000000,0,i32,176
FullPermutation,24,30000000,27000000,0,i32,10527
ParPermutation,24,30000000,27000000,0,i32,10130
Naive,24,30000000,27000000,1,i32,7248
SeqPriority,24,30000000,27000000,1,i32,141
ParPriority,24,30000000,27000000,1,i32,1126
SeqPermutation,24,30000000,27000000,1,i32,170
FullPermutation,24,30000000,27000000,1,i32,10466
ParPermutation,24,30000000,27000000,1,i32,10150
Naive,24,30000000,27000000,2,i32,7344
SeqPriority,24,30000000,27000000,2,i32,96
ParPriority,24,30000000,27000000,2,i32,772
SeqPermutation,24,30000000,27000000,2,i32,172
FullPermutation,24,30000000,27000000,2,i32,10510
ParPermutation,24,30000000,27000000,2,i32,10181
Naive,24,30000000,27000000,3,i32,7196
SeqPriority,24,30000000,27000000,3,i32,119
ParPriority,24,30000000,27000000,3,i32,1210
SeqPermutation,24,30000000,27000000,3,i32,170
FullPermutation,24,30000000,27000000,3,i32,10517
ParPermutation,24,30000000,27000000,3,i32,10169
Naive,24,30000000,27000000,4,i32,7192
SeqPriority,24,30000000,27000000,4,i32,87
ParPriority,24,30000000,27000000,4,i32,974
SeqPermutation,24,30000000,27000000,4,i32,177
FullPermutation,24,30000000,27000000,4,i32,10507
ParPermutation,24,30000000,27000000,4,i32,10125
Naive,24,30000000,27000000,5,i32,7159
SeqPriority,24,30000000,27000000,5,i32,82
ParPriority,24,30000000,27000000,5,i32,1542
SeqPermutation,24,30000000,27000000,5,i32,171
FullPermutation,24,30000000,27000000,5,i32,10519
ParPermutation,24,30000000,27000000,5,i32,10128
Naive,24,30000000,27000000,6,i32,7290
SeqPriority,24,30000000,27000000,6,i32,134
