algorithm,threads,n,k,rep,dtype,time
Naive,1,30000000,27000000,11,i32,7434
SeqPriority,1,30000000,27000000,11,i32,116
ParPriority,1,30000000,27000000,11,i32,14471
SeqPermutation,1,30000000,27000000,11,i32,447
FullPermutation,1,30000000,27000000,11,i32,17988
ParPermutation,1,30000000,27000000,11,i32,17889
Naive,1,30000000,27000000,12,i32,7316
SeqPriority,1,30000000,27000000,12,i32,121
ParPriority,1,30000000,27000000,12,i32,11550
SeqPermutation,1,30000000,27000000,12,i32,441
FullPermutation,1,30000000,27000000,12,i32,17754
ParPermutation,1,30000000,27000000,12,i32,17672
Naive,1,30000000,27000000,13,i32,7333
SeqPriority,1,30000000,27000000,13,i32,144
ParPriority,1,30000000,27000000,13,i32,14756
SeqPermutation,1,30000000,27000000,13,i32,449
FullPermutation,1,30000000,27000000,13,i32,17635
ParPermutation,1,30000000,27000000,13,i32,17666
Naive,1,30000000,27000000,14,i32,7307
SeqPriority,1,30000000,27000000,14,i32,97
ParPriority,1,30000000,27000000,14,i32,9544
SeqPermutation,1,30000000,27000000,14,i32,449
FullPermutation,1,30000000,27000000,14,i32,17978
ParPermutation,1,30000000,27000000,14,i32,17787
